title,abstract,year,doi,pages,authors,keywords,journal,paper_id,author_ids,keyword_ids
Implantable Sensors For Regenerative Medicine,"The translation of many tissue engineering/regenerative medicine (TE/RM) therapies that demonstrate promise in vitro are delayed or abandoned due to reduced and inconsistent efficacy when implemented in more complex and clinically relevant preclinical in vivo models. Determining mechanistic reasons for impaired treatment efficacy is challenging after a regenerative therapy is implanted due to technical limitations in longitudinally measuring the progression of key environmental cues in vivo. The ability to acquire real-time measurements of environmental parameters of interest including strain, pressure, pH, temperature, oxygen tension, and specific biomarkers within the regenerative niche in situ would significantly enhance the information available to tissue engineers to monitor and evaluate mechanisms of functional healing or lack thereof. Continued advancements in material and fabrication technologies utilized by microelectromechanical systems (MEMSs) and the unique physical characteristics of passive magnetoelastic sensor platforms have created an opportunity to implant small, flexible, low-power sensors into preclinical in vivo models, and quantitatively measure environmental cues throughout healing. In this perspective article, we discuss the need for longitudinal measurements in TE/RM research, technical progress in MEMS and magnetoelastic approaches to implantable sensors, the potential application of implantable sensors to benefit preclinical TE/RM research, and the future directions of collaborative efforts at the intersection of these two important fields. C1 [Klosterhoff, Brett S.; Guldberg, Robert E.] Georgia Inst Technol, George W Woodruff Sch Mech Engn, Atlanta, GA 30332 USA. [Klosterhoff, Brett S.; Willett, Nick J.; Guldberg, Robert E.] Georgia Inst Technol, Parker H Petit Inst Bioengn & Biosci, Atlanta, GA 30332 USA. [Tsang, Melissa; Allen, Mark G.] Georgia Inst Technol, Sch Elect & Comp Engn, Atlanta, GA 30332 USA. [She, Didi; Allen, Mark G.] Univ Penn, Dept Elect & Syst Engn, Philadelphia, PA 19104 USA. [Ong, Keat Ghee] Michigan Technol Univ, Dept Biomed Engn, Houghton, MI 49931 USA. [Willett, Nick J.] Emory Univ, Dept Orthopaed, Atlanta, GA 30303 USA. [Willett, Nick J.] Atlanta Vet Affairs Med Ctr, Decatur, GA 30033 USA. [Willett, Nick J.] Georgia Inst Technol, Wallace H Coulter Dept Biomed Engn, Atlanta, GA 30333 USA. [Willett, Nick J.] Emory Univ, Atlanta, GA 30332 USA. C3 University System of Georgia; Georgia Institute of Technology; University System of Georgia; Georgia Institute of Technology; University System of Georgia; Georgia Institute of Technology; University of Pennsylvania; Michigan Technological University; Emory University; US Department of Veterans Affairs; Veterans Health Administration (VHA); Atlanta VA Health Care System; University System of Georgia; Georgia Institute of Technology; Emory University",2017,10.1115/1.4035436,,"['re, klosterhoff bs tsang m she dd ong kg allen mg willett nj guldberg']","['tissue engineering; regenerative medicine; mems; sensors; in vivo monitoring', 'controlled drug-delivery; in-vivo; oxygen-tension; pressure sensor; responsive nanoparticles; biodegradable materials; tissue regeneration; heart-failure; bone; mems']",Journal Of Biomechanical Engineering-Transactions Of The Asme,P000001,['A000001'],"['K000001', 'K000002']"
Application Of The Self-Made Flexible Three-In-One Microsen-Sor To The Laboratory Oven For Immediate Micro-Monitoring Of The Roll-To-Roll Process Of Polarizing Films,"The main purpose of this study is to carry out the immediate micro-monitoring of the roll-to-roll (R2R) process of polarizing films. Therefore, a self-made flexible three-in-one (temperature, humidity, and flow) microsensor is developed. The temperature and flow sensing area are 585 mu m x 450 mu m, the humidity sensing area is 1065 mu m x 1035 mu m, and the minimum line width is 15 mu m. The micro-electro-mechanical systems (MEMS) technology was applied to integrate temperature, humidity, and flow sensors on a 50 mu m thick polyimide substrate. A 100 angstrom thick chromium (Chrome, Cr) section form the adhesion layer. A 1000 angstrom thick gold section forms the sensing layer. A self-made flexible three-in-one microsensor set up in a laboratory oven for immediate micro-monitoring of the R2R process of the polarizing film. Since it is not advisable to set up signal lines in a clean room, the analog signals of the sensor should be transmitted via wireless means. Thus, a monitoring module should be connected to the back end of the self-made flexible three-in-one microsensor to receive the analog signals of the sensor, convert them into digital signals, send them out in the form of wireless signals, and store the data on the server-side. Through these measures, both the R2R process and yield can be improved. Therefore, the focus of this study is the environmental monitoring of drying process ovens. However, commercially available all-in-one sensors cannot handle the temperature of high-temperature factory ovens, and commercial flow sensors are rarely used in high-temperature applications. Some are also expensive and cannot be widely distributed, so this study intends to develop an integrated sensor to measure the internal environment of the drying oven. C1 [Lee, Chi-Yuan; Liu, Chen-Kai; Lin, Jyun-Ting] Yuan Ze Univ, Yuan Ze Fuel Cell Ctr, Dept Mech Engn, Taoyuan 32003, Taiwan. C3 Yuan Ze University",2023,10.3390/coatings13010083,,"['jt, lee cy liu ck lin']","['r2r process; self-made flexible three-in-one microsensor; immediate micro-monitoring through a laboratory oven', 'temperature sensor; performance']",Coatings,P000002,['A000002'],"['K000003', 'K000004']"
On The Selective Mode Excitation Of Wide Tunable Mems Capacitive Resonator,"This research paper provides a simple and original approach to extend the resonant frequency tuning range for achieving high-to-low frequencies in electrostatically actuated microelectromechanical systems (MEMS) based resonators. In microstructures, low frequencies are usually achieved by increasing the effective mass or decreasing the mechanical stiffness. However, this work intends, assuming a double-sided electrodes design, to control the excited mode of the micro-system in order to achieve low frequencies through DC bias voltage variations and possibly eliminate the displacement dependency in capacitive micro-bridges-based structures. The design consists of a flexible microbeam where its equations of motion are derived within the framework of the nonlinear Euler-Bernoulli beam theory. The equations are then solved using the reduced-order modeling based on the Galerkin modal decomposition while considering the couple-stress theory. Simulation results show an improved performance of the proposed structure compared to previous studies. According to these results, a wide frequency tuning range has been achieved through a proper DC bias voltage arrangement. In addition, the outcomes of the numerical analysis were validated by comparing them with FEM results obtained by COMSOL software. C1 [Shourcheh, Shahab Dindar; Afrang, Saeid] Urmia Univ, Elect Engn Dept, Orumiyeh, Iran. [Rezazadeh, Ghader] Urmia Univ, Mech Engn Dept, Orumiyeh, Iran. [Rezazadeh, Ghader] South Ural State Univ, Chelyabinsk, Russia. C3 Urmia University; Urmia University; South Ural State University",2023,10.1007/s00542-023-05548-0,1703-1713,"['g, shourcheh sd afrang s rezazadeh']",['single-crystal silicon; dynamic pull-in; bifurcation-analysis; beam; tensile'],Microsystem Technologies-Micro-And Nanosystems-Information Storage And Processing Systems,P000003,['A000003'],['K000005']
Design And Fabrication Of Micro Resonator With Bilateral Concentric Boundaries,"A new set of resonators is introduced in this work, which utilizes a flexible polysilicon plate symmetrically clamped at two positions across the plate's boundary. The proposed resonators provide larger deflection and hence change in capacitance with respect to the conventional fully clamped device. To demonstrate the concept, three topologies clamped at 60 degrees, 90 degrees, and 120 degrees are designed and fabricated using a poly multiuser microelectromechanical systems (MEMS) process. For a fair comparison, a fully clamped conventional topology is designed and fabricated with the same dimensions and material properties. Finite element analysis along with electrical and optical characterizations are performed. The obtained measurement results demonstrate improved average deflection of 40 nm with 26% decrease in pull-in voltage. C1 [Nazemi, Haleh; Ye, Bruce; Emadi, Arezoo] Univ Windsor, Dept Elect & Comp Engn, Windsor, ON N9B 3P4, Canada. [Graham, Ryan; Damiani, David] Polytec Inc, Hudson, MA 01749 USA. C3 University of Windsor",2024,10.1109/lsens.2024.3416428,,"['a, nazemi h graham r ye b damiani d emadi']","['cmut; membranes; array', 'optical resonators; voltage measurement; resonant frequency; optical interferometry; topology; performance evaluation; material properties; sensor phenomena; boundary condition; capacitive resonator; deflection; electromechanical coupling coefficient']",Ieee Sensors Letters,P000004,['A000004'],"['K000006', 'K000007']"
Biomimetic Soft Polymer Microstructures And Piezoresistive Graphene Mems Sensors Using Sacrificial Metal 3D Printing,"Recent advances in 3D printing technology have enabled unprecedented design freedom across an ever-expanding portfolio of materials. However, direct 3D printing of soft polymeric materials such as polydimethylsiloxane (PDMS) is challenging, especially for structural complexities such as high-aspect ratio (>20) structures, 3D microfluidic channels (similar to 150 mu m diameter), and biomimetic microstructures. This work presents a novel processing method entailing 3D printing of a thin-walled sacrificial metallic mold, soft polymer casting, and acidic etching of the mold. The proposed workflow enables the facile fabrication of various complex, bioinspired PDMS structures (e.g., 3D double helical microfluidic channels embedded inside high-aspect ratio pillars) that are difficult or impossible to fabricate using currently available techniques. The microfluidic channels are further infused with conductive graphene nanoplatelet ink to realize two flexible piezoresistive microelectromechanical (MEMS) sensors (a bioinspired flow/tactile sensor and a dome-like force sensor) with embedded sensing elements. The MEMS force sensor is integrated into a Philips 9000 series electric shaver to demonstrate its application in ""smart"" consumer products in the future. Aided by current trends in industrialization and miniaturization in metal 3D printing, the proposed workflow shows promise as a low-temperature, scalable, and cleanroom-free technique of fabricating complex, soft polymeric, biomimetic structures, and embedded MEMS sensors. C1 [Kamat, Amar M.; Pei, Yutao; Kottapalli, Ajay Giri Prakash] Univ Groningen, Fac Sci & Engn, Adv Prod Engn, Engn & Technol Inst Groningen, NL-9747 AG Groningen, Netherlands. [Jayawardhana, Bayu] Univ Groningen, Engn & Technol Inst Groningen, Discrete Technol & Prod Automat, Fac Sci & Engn, NL-9747 AG Groningen, Netherlands. [Kottapalli, Ajay Giri Prakash] MIT, MIT Sea Grant Coll Program, Cambridge, MA 02139 USA. C3 University of Groningen; University of Groningen; Massachusetts Institute of Technology (MIT)",2021,10.1021/acsami.0c21295,1094-1104,"['agp, kamat am pei yt jayawardhana b kottapalli']","['3d printing; additive manufacturing; mems; flow sensor; pressure sensor; embedded sensing; graphene; piezoresistivity; bioinspiration; microfluidics', 'microfluidic devices; strain sensors; fabrication; design; polydimethylsiloxane; microfabrication; mechanisms; membranes; films; fish']",Acs Applied Materials & Interfaces,P000005,['A000005'],"['K000008', 'K000009']"
Flexible Treatment Of Time-Varying Covariates With Time Unstructured Data,"Time-varying covariates (TVCs) are a common component of growth models. Though mixed effect models (MEMs) and latent curve models (LCMs) are often seen as interchangeable, LCMs are generally more flexible for accommodating TVCs. Specifically, the standard MEM constrains the effect of TVCs across time-points whereas the typical LCM specification can estimate time-specific TVC effects, can include lagged TVC effects, or constrain some TVC effects based on theoretically appropriate phases. However, when data are time-unstructured, LCMs can have difficulty providing TVC effects whose interpretation aligns with typical research questions. This paper shows how MEMs can be adapted to yield TVC effects that mirror the flexibility of LCMs such that the model likelihoods are identical in ideal circumstances. We then extend this adaptation to the context of time-unstructured data where MEMs tend to be more flexible than LCMs. Examples and software code are provided to facilitate implementation of these methods. C1 [McNeish, Daniel] Arizona State Univ, Tempe, AZ 85287 USA. [Matta, Tyler H.] Univ Oslo, Oslo, Norway. [Matta, Tyler H.] Pearson, London, England. C3 Arizona State University; Arizona State University-Tempe; University of Oslo",2020,10.1080/10705511.2019.1627213,298-317,"['th, mcneish d matta']","['random-effects models; growth curve models; between-person; within-person; multilevel models; individual-differences; linear-models; latent; performance; variables', 'growth model; time-varying covariate; time-unstructured data; unbalanced data; multilevel model; random effects model']",Structural Equation Modeling-A Multidisciplinary Journal,P000006,['A000006'],"['K000010', 'K000011']"
Experimental Verification Of A Novel Mems Multi-Modal Vibration Energy Harvester For Ultra-Low Power Remote Sensing Nodes,"In this work, we discuss the verification and preliminary experimental characterization of a MEMS-based vibration Energy Harvester (EH) design. The device, named Four-Leaf Clover (FLC), is based on a circular-shaped mechanical resonator with four petal-like mass-spring cascaded systems. This solution introduces several mechanical Degrees of Freedom (DOFs), and therefore enables multiple resonant modes and deformation shapes in the vibrations frequency range of interest. The target is to realize a wideband multi-modal EH-MEMS device, that overcomes the typical narrowband working characteristics of standard cantilevered EHs, by ensuring flexible and adaptable power source to ultra-low power electronics for integrated remote sensing nodes (e.g. Wireless Sensor Networks - WSNs) in the Internet of Things (IoT) scenario, aiming to self-powered and energy autonomous smart systems. Finite Element Method simulations of the FLC EH-MEMS show the presence of several resonant modes for vibrations up to 4-5 kHz, and level of converted power up to a few mu W at resonance and in closed-loop conditions (i.e. with resistive load). On the other hand, the first experimental tests of FLC fabricated samples, conducted with a Laser Doppler Vibrometer (LDV), proved the presence of several resonant modes, and allowed to validate the accuracy of the FEM modeling method. Such a good accordance holds validity for what concerns the coupled field behavior of the FLC EH-MEMS, as well. Both measurements and simulations performed at 190 Hz (i.e. out of resonance) showed the generation of power in the range of nW (Root Mean Square - RMS values). Further steps of this work will include the experimental characterization in a full range of vibrations, aiming to prove the whole functionality of the FLC EH-MEMS proposed design concept. C1 [Iannacci, J.; Sordo, G.; Serra, E.] Fdn Bruno Kessler, Ctr Mat & Microsyst, MicroSyst Technol MST Res Unit, I-38123 Trento, Italy. [Kucera, M.; Schmid, U.] Vienna Univ Technol, Inst Sensor & Actuator Syst, A-1040 Vienna, Austria. C3 Fondazione Bruno Kessler; FBK-CMM - Centre for Materials & Microsystems; Technische Universitat Wien",2015,10.1117/12.2177669,,"['u, iannacci j sordo g serra e kucera m schmid']",['energy harvesting (eh); mems (microelectromechanical-systems); microsystems; vibrations; multi-modal resonator; wideband eh; internet of things (iot); ultra-low power smart and integrated remote sensing nodes'],"Smart Sensors, Actuators, And Mems Vii; And Cyber Physical Systems",P000007,['A000007'],['K000012']
Reactive Joining Of Thermally And Mechanically Sensitive Materials,"Reactive joining, i.e., utilization of an exothermal reaction to locally generale the heat required for soldering or brazing, represents an emerging technology for flexible and benign joining of heat-sensitive materials, e.g., for microelectromechanical systems (MEMS) applications. However, for successful reactive joining, precise control of heat production and heat distribution is mandatory in order to avoid damaging of the components during the process. For the exemplary case of borosilicate glass, the reactive joining process for a both thermally and mechanically sensitive material is developed. Employing various nondestructive and destructive testing methods, typical problems which can occur upon reactive joining are identified, e.g., exposure of the joining zone to excessive temperatures, experience of thermal shock by the substrate due to sudden temperature increase, and generation of residual stresses in substrate and soldering zone. Utilizing the results of nondestructive and destructive testing, procedures for successful reactive joining of borosilicate glass, silicon and aluminum oxide are provided. C1 [Rheingans, Bastian; Furrer, Roman; Neuenschwander, Juerg; Jeurgens, Lars P. H.; Janczak-Rusch, Jolanta] Empa, Swiss Fed Labs Mat Sci & Technol, Uberlandstr 129, CH-8600 Dubendorf, Switzerland. [Spies, Irina; Schumacher, Axel; Knappmann, Stephan] Hahn Schickard, Wilhelm Schickard Str 10, D-78052 Villingen Schwenningen, Germany. C3 Swiss Federal Institutes of Technology Domain; Swiss Federal Laboratories for Materials Science & Technology (EMPA)",2018,10.1115/1.4040978,,"['j, rheingans b furrer r neuenschwander j spies i schumacher a knappmann s jeurgens lph janczakrusch']",['foils; ni'],Journal Of Electronic Packaging,P000008,['A000008'],['K000013']
Deposition Of Molybdenum Thin Films On Flexible Polymer Substrates By Radio Frequency Magnetron Sputtering,"Molybdenum (Mo) deposited on polymer substrates can promisingly be used for development of flexible Nanoelectromechanical Systems (NEMS) devices and Microelectromechanical Systems (MEMS) devices. In this paper, Mo thin films deposited on polymer substrates using radio frequency magnetron sputtering under different deposition parameters were investigated. Unlike the Mo thin films deposited on rigid substrates the results show that Mo thin films grew on polymer substrates need proper sputtering power, low sputtering pressure and low substrate temperature. High sputtering power is beneficial for Mo(110) orientation and low electrical resistivity. But high sputtering power also damages the polymer substrates and makes the Mo films rough. High sputtering pressure greatly degrades the Mo(110) orientation and increases the electrical resistivity. Low substrate temperature is beneficial for Mo(110) orientation as well as low electrical resistivity. According to our experiments compact, flat and low electrical resistivity Mo thin films were obtained at sputtering power 200 W, sputtering pressure 1 Pa and room temperature. C1 [Zhang, Rui; Huo, Zhenxuan; Jiao, Xiangquan; Zhong, Hui; Shi, Yu] Univ Elect Sci & Technol China, State Key Lab Elect Thin Films & Integrated Devic, Chengdu 610054, Peoples R China. [JieYang] China Acad Engn Phys, Mian Shan Rd 64, Mianyang 621900, Peoples R China. [Du, Bo] China Elect Technol Grp Corp, Inst 26, Huayuan Rd 14, Chongqing 40060, Peoples R China. C3 University of Electronic Science & Technology of China; Chinese Academy of Engineering Physics; China Electronics Technology Group",2016,10.1166/jnn.2016.12782,8154-8159,"['y, zhang r huo zx jiao xq jieyang du b zhong h shi']","['technology; accelerometer; fabrication; stress', 'molybdenum thin films; polymer substrates; radio frequency magnetron sputtering; microstructure; electrical resistivity']",Journal Of Nanoscience And Nanotechnology,P000009,['A000009'],"['K000014', 'K000015']"
Large Displacement Bi-Directional Out-Of-Plane Lorentz Actuator Array For Surface Manipulation,"This paper presents a large displacement out-of-plane Lorentz actuator array for surface manipulation. Actuators are formed from single crystal silicon flexible serpentine springs on either side of a rigid crossbar containing a narrow contact pillar. A rigid mounting rail system was employed to enable a 5 x 5 array, which offers scalability of the array size. Analytical and finite element models were used to optimize actuator design. Individual actuators were tested to show linear deflection response of +/- 150 mu m motion, using a +/- 14.7 mA current in the presence of a 0.48 T magnetic field. This actuator array is suitable for various 2D surface modification applications due to its large deformation with low current and temperature of operation, and narrow contact area to a target surface. C1 [Park, Byoungyoul; Afsharipour, Elnaz; Chrusch, Dwayne; Shafai, Cyrus] Univ Manitoba, Dept Elect & Comp Engn, Winnipeg, MB R3T 5V6, Canada. [Andersen, David; Burley, Greg] NRC Herzberg Astron & Astrophys, 5071 W Saanich Rd, Victoria, BC V9E 2E7, Canada. C3 University of Manitoba; National Research Council Canada",2017,10.1088/1361-6439/aa7970,,"['g, park b afsharipour e chrusch d shafai c andersen d burley']","['microelectromechanical systems (mems); magnetic actuator; lorentz force; large displacement; 2d surface modification', 'low-voltage; adaptive optics; lithography']",Journal Of Micromechanics And Microengineering,P000010,['A000010'],"['K000016', 'K000017']"
